                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:77462][TT:10829] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77462][TT:10829] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77462][TT:10829] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77463][TT:10830] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77463][TT:10830] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77522][TT:10859] [---------QML---------] [QGuiApplication::notify] [end]


I/start   (  871): [TC:77526][TT:10859] [AppLauncher] [AppMediaInterface::notifySoundModeChanged][begin] !!!
I/start   (  871): [TC:77751][TT:10977] [AppLauncher] [AppMediaInterface::notifySoundModeChanged][end] !!!
I/start   (  871): [TC:77751][TT:10977] [AppLauncher] [AppMediaInterface::notifySoundModeChanged][begin] !!!
I/start   (  871): [TC:77778][TT:10984] [AppLauncher] [AppMediaInterface::notifySoundModeChanged][end] !!!
I/start   (  871): [TC:77782][TT:10987] [UIFrameworkBase] [NGStatusNotifyHandler::onNotifyThemeChange][begin]
I/start   (  871): [TC:77782][TT:10987] [UIFrameworkBase] [NGStatusNotifyHandler::onNotifyThemeChange][end]
I/start   (  871): [TC:77782][TT:10987] [UIFrameworkBase] [NGStatusNotifyHandler::onNotifyLanguageChange][begin]
I/start   (  871): [TC:77782][TT:10987] [UIFrameworkBase] [NGResourceManager::setLanguage][begin] language = en-us
I/start   (  871): [TC:77782][TT:10987] [UIFrameworkBase] [NGResourceManager::loadResAfterSnapshot][begin]
I/start   (  871): [TC:77783][TT:10988] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]
I/start   (  871): [TC:77783][TT:10988] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:77783][TT:10988] [UIFrameworkBase] [NGResourceManager::strReaderIdx][begin]2] [end]
I/start   (  871): [TC:77783][TT:10988] [UIFrameworkBase] [NGResourceManager::strReaderIdx][end]
I/start   (  871): [TC:77783][TT:10988] [UIFrameworkBase] [NGStatusNotifyHandler::onNotifyLanguageChange][language signal][begin]
I/start   (  871): [TC:77798][TT:11001] [---------QML---------] [NQApplication::onStatusContextChanged] app[SystemApp] type[2] [begin]
I/start   (  871): [TC:77927][TT:11058] [---------QML---------] [NQPrivateAPI::LoadFontByDestination][begin]!!!
I/start   (  871): [TC:78045][TT:11115] [---------QML---------] [NQPrivateAPI::LoadFontByDestination][end]!!!
I/start   (  871): [TC:78050][TT:11120] [---------QML---------] [NQResourceManager::resetLanguage] [begin]
I/start   (  871): [TC:78132][TT:11149] [---------QML---------] [NQResourceManager::resetLanguage] [end]
I/start   (  871): [TC:78132][TT:11149] [---------QML---------] [NQApplication::onStatusContextChanged] [iter items] [begin]
